"Hodnota","Jednotka","Rok","Latka","Stat"
"224,759","Tonne",2017,"Potassium","Denmark"
"1,520,702","Tonne",2017,"Potassium","Germany (until 1990 former territory of the FRG)"
"55,185","Tonne",2017,"Potassium","Estonia"
"408,045","Tonne",2017,"Potassium","Ireland"
"178,263","Tonne",2017,"Potassium","Greece"
"1,072,862","Tonne",2017,"Potassium","Spain"
"2,242,926","Tonne",2017,"Potassium","France"
"102,456","Tonne",2017,"Potassium","Croatia"
"599,242","Tonne",2017,"Potassium","Italy"
"4,155","Tonne",2017,"Potassium","Cyprus"
"115,570","Tonne",2017,"Potassium","Latvia"
"169,891","Tonne",2017,"Potassium","Lithuania"
"","Tonne",2017,"Potassium","Luxembourg"
"393,064","Tonne",2017,"Potassium","Hungary"
"","Tonne",2017,"Potassium","Malta"
"214,574","Tonne",2017,"Potassium","Netherlands"
"112,592","Tonne",2017,"Potassium","Austria"
"1,178,517","Tonne",2017,"Potassium","Poland"
"69,199","Tonne",2017,"Potassium","Portugal"
"611,773","Tonne",2017,"Potassium","Romania"
"25,359","Tonne",2017,"Potassium","Slovenia"
"127,927","Tonne",2017,"Potassium","Slovakia"
"139,804","Tonne",2017,"Potassium","Finland"
"169,795","Tonne",2017,"Potassium","Sweden"
"1,030,775","Tonne",2017,"Potassium","United Kingdom"
"185,878","Tonne",2017,"Potassium","Belgo-Luxembourg Economic Union"
"","Tonne",2017,"Potassium","Iceland"
"","Tonne",2017,"Potassium","Liechtenstein"
"102,144","Tonne",2017,"Potassium","Norway"
"","Tonne",2017,"Potassium","Switzerland"
"","Tonne",2017,"Potassium","Montenegro"
"","Tonne",2017,"Potassium","North Macedonia"
"","Tonne",2017,"Potassium","Albania"
"","Tonne",2017,"Potassium","Serbia"
"","Tonne",2017,"Potassium","Turkey"
