"Hodnota","Jednotka","Rok","Výdaje"
147875445,"Kč",2010,"Nákup materiálu a služeb"
131356761,"Kč",2011,"Nákup materiálu a služeb"
122202367,"Kč",2012,"Nákup materiálu a služeb"
111394310,"Kč",2013,"Nákup materiálu a služeb"
122798943,"Kč",2014,"Nákup materiálu a služeb"
122692271,"Kč",2015,"Nákup materiálu a služeb"
130780682,"Kč",2016,"Nákup materiálu a služeb"
126460959,"Kč",2017,"Nákup materiálu a služeb"
134905914,"Kč",2018,"Nákup materiálu a služeb"
7429068,"Kč",2010,"Voda, energie a paliva"
7342081,"Kč",2011,"Voda, energie a paliva"
5620311,"Kč",2012,"Voda, energie a paliva"
6540606,"Kč",2013,"Voda, energie a paliva"
5435748,"Kč",2014,"Voda, energie a paliva"
5294483,"Kč",2015,"Voda, energie a paliva"
6122743,"Kč",2016,"Voda, energie a paliva"
5180104,"Kč",2017,"Voda, energie a paliva"
4872259,"Kč",2018,"Voda, energie a paliva"
112273000,"Kč",2010,"Mzdy (platy) a zdrav. a soc. poj. "
106640449,"Kč",2011,"Mzdy (platy) a zdrav. a soc. poj. "
101246108,"Kč",2012,"Mzdy (platy) a zdrav. a soc. poj. "
99629845,"Kč",2013,"Mzdy (platy) a zdrav. a soc. poj. "
105948038,"Kč",2014,"Mzdy (platy) a zdrav. a soc. poj. "
117989083,"Kč",2015,"Mzdy (platy) a zdrav. a soc. poj. "
116039857,"Kč",2016,"Mzdy (platy) a zdrav. a soc. poj. "
120493555,"Kč",2017,"Mzdy (platy) a zdrav. a soc. poj. "
132807979,"Kč",2018,"Mzdy (platy) a zdrav. a soc. poj. "
73059571,"Kč",2010,"Ostatní"
89337810,"Kč",2011,"Ostatní"
86318619,"Kč",2012,"Ostatní"
82664894,"Kč",2013,"Ostatní"
89259519,"Kč",2014,"Ostatní"
96718812,"Kč",2015,"Ostatní"
80768508,"Kč",2016,"Ostatní"
59590539,"Kč",2017,"Ostatní"
60058197,"Kč",2018,"Ostatní"
28710906,"Kč",2010,"Opravy a údržba"
23802014,"Kč",2011,"Opravy a údržba"
27210518,"Kč",2012,"Opravy a údržba"
47001981,"Kč",2013,"Opravy a údržba"
20199941,"Kč",2014,"Opravy a údržba"
17962535,"Kč",2015,"Opravy a údržba"
46505291,"Kč",2016,"Opravy a údržba"
30420966,"Kč",2017,"Opravy a údržba"
12233394,"Kč",2018,"Opravy a údržba"
