"Hodnota","Jednotka","Rok","Prodej"
26700000,"Kč",2010,"Tržby z prodeje dříví (Kč), pravá osa"
32812846,"Kč",2011,"Tržby z prodeje dříví (Kč), pravá osa"
30837790,"Kč",2012,"Tržby z prodeje dříví (Kč), pravá osa"
28828450,"Kč",2013,"Tržby z prodeje dříví (Kč), pravá osa"
30034932,"Kč",2014,"Tržby z prodeje dříví (Kč), pravá osa"
38825520,"Kč",2015,"Tržby z prodeje dříví (Kč), pravá osa"
38017880,"Kč",2016,"Tržby z prodeje dříví (Kč), pravá osa"
32996265,"Kč",2017,"Tržby z prodeje dříví (Kč), pravá osa"
60148027,"Kč",2018,"Tržby z prodeje dříví (Kč), pravá osa"
1095.92,"Kč",2010,"Průměrná cena (Kč/m3)"
1379.87,"Kč",2011,"Průměrná cena (Kč/m3)"
1308.81,"Kč",2012,"Průměrná cena (Kč/m3)"
1329.99,"Kč",2013,"Průměrná cena (Kč/m3)"
1500.34,"Kč",2014,"Průměrná cena (Kč/m3)"
1436.49,"Kč",2015,"Průměrná cena (Kč/m3)"
1318.82,"Kč",2016,"Průměrná cena (Kč/m3)"
1350.4,"Kč",2017,"Průměrná cena (Kč/m3)"
1058.03,"Kč",2018,"Průměrná cena (Kč/m3)"
391,"Kč",2010,"Výrobní náklady na m3"
406,"Kč",2011,"Výrobní náklady na m3"
434,"Kč",2012,"Výrobní náklady na m3"
434,"Kč",2013,"Výrobní náklady na m3"
436,"Kč",2014,"Výrobní náklady na m3"
365,"Kč",2015,"Výrobní náklady na m3"
448,"Kč",2016,"Výrobní náklady na m3"
431,"Kč",2017,"Výrobní náklady na m3"
552,"Kč",2018,"Výrobní náklady na m3"
