"Hodnota","Jednotka","Rok","Návštěvnost"
209767,"Počet",2010,"Návštěvnost vlastních infostředisek"
220625,"Počet",2011,"Návštěvnost vlastních infostředisek"
213262,"Počet",2012,"Návštěvnost vlastních infostředisek"
244477,"Počet",2013,"Návštěvnost vlastních infostředisek"
245376,"Počet",2014,"Návštěvnost vlastních infostředisek"
265982,"Počet",2015,"Návštěvnost vlastních infostředisek"
604051,"Počet",2016,"Návštěvnost vlastních infostředisek"
553278,"Počet",2017,"Návštěvnost vlastních infostředisek"
,"Počet",2018,"Návštěvnost vlastních infostředisek"
