"Hodnota","Jednotka","Rok","Prodej"
364511610,"Kč",2010,"Tržby z prodeje dříví (Kč), pravá osa"
316346592,"Kč",2011,"Tržby z prodeje dříví (Kč), pravá osa"
152363683,"Kč",2012,"Tržby z prodeje dříví (Kč), pravá osa"
191705731,"Kč",2013,"Tržby z prodeje dříví (Kč), pravá osa"
191518326,"Kč",2014,"Tržby z prodeje dříví (Kč), pravá osa"
214624210,"Kč",2015,"Tržby z prodeje dříví (Kč), pravá osa"
190638996,"Kč",2016,"Tržby z prodeje dříví (Kč), pravá osa"
271140995,"Kč",2017,"Tržby z prodeje dříví (Kč), pravá osa"
311108727.32,"Kč",2018,"Tržby z prodeje dříví (Kč), pravá osa"
1241.9475638841568,"Kč",2010,"Průměrná cena (Kč/m3)"
1320.0799192128259,"Kč",2011,"Průměrná cena (Kč/m3)"
1400.0154644858953,"Kč",2012,"Průměrná cena (Kč/m3)"
1586.4689170625134,"Kč",2013,"Průměrná cena (Kč/m3)"
1664.5661764705883,"Kč",2014,"Průměrná cena (Kč/m3)"
1636.316720416581,"Kč",2015,"Průměrná cena (Kč/m3)"
1440.7529984355988,"Kč",2016,"Průměrná cena (Kč/m3)"
1517,"Kč",2017,"Průměrná cena (Kč/m3)"
1233.5188594628066,"Kč",2018,"Průměrná cena (Kč/m3)"
752,"Kč",2010,"Výrobní náklady na m3"
674,"Kč",2011,"Výrobní náklady na m3"
598,"Kč",2012,"Výrobní náklady na m3"
508,"Kč",2013,"Výrobní náklady na m3"
640,"Kč",2014,"Výrobní náklady na m3"
647,"Kč",2015,"Výrobní náklady na m3"
779,"Kč",2016,"Výrobní náklady na m3"
715,"Kč",2017,"Výrobní náklady na m3"
759.5509433755789,"Kč",2018,"Výrobní náklady na m3"
