"Hodnota","Jednotka","Rok","Výdaje"
1453641.53,"Kč",2010,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2778322.46,"Kč",2011,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
676325.45,"Kč",2012,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
16101857.81,"Kč",2013,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
11301598.37,"Kč",2014,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
6372504.11,"Kč",2015,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
583988.66,"Kč",2016,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
1561133,"Kč",2017,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
9088361,"Kč",2018,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
35884253,"Kč",2010,"Budovy, haly a stavby"
40678892,"Kč",2011,"Budovy, haly a stavby"
63134099.9,"Kč",2012,"Budovy, haly a stavby"
105550944.4,"Kč",2013,"Budovy, haly a stavby"
110034352,"Kč",2014,"Budovy, haly a stavby"
93976925.4,"Kč",2015,"Budovy, haly a stavby"
35788663.66,"Kč",2016,"Budovy, haly a stavby"
67268855.53,"Kč",2017,"Budovy, haly a stavby"
90781014,"Kč",2018,"Budovy, haly a stavby"
2156884,"Kč",2010,"Dopravní prostředky"
322547,"Kč",2011,"Dopravní prostředky"
902294.8,"Kč",2012,"Dopravní prostředky"
4387023.68,"Kč",2013,"Dopravní prostředky"
1700959.34,"Kč",2014,"Dopravní prostředky"
473225.39,"Kč",2015,"Dopravní prostředky"
10062627.5,"Kč",2016,"Dopravní prostředky"
2578359.38,"Kč",2017,"Dopravní prostředky"
488515.42,"Kč",2018,"Dopravní prostředky"
112378,"Kč",2010,"Ostatní"
995619,"Kč",2011,"Ostatní"
608567.27,"Kč",2012,"Ostatní"
108774.1,"Kč",2013,"Ostatní"
197724,"Kč",2014,"Ostatní"
278081,"Kč",2015,"Ostatní"
186984,"Kč",2016,"Ostatní"
1407373,"Kč",2017,"Ostatní"
1549763,"Kč",2018,"Ostatní"
1311114,"Kč",2010,"Stroje, přístroje a zařízení"
2678253,"Kč",2011,"Stroje, přístroje a zařízení"
1373696.22,"Kč",2012,"Stroje, přístroje a zařízení"
9400875.48,"Kč",2013,"Stroje, přístroje a zařízení"
5492631.4,"Kč",2014,"Stroje, přístroje a zařízení"
2231179.17,"Kč",2015,"Stroje, přístroje a zařízení"
3308285,"Kč",2016,"Stroje, přístroje a zařízení"
83347.63,"Kč",2017,"Stroje, přístroje a zařízení"
2400491.23,"Kč",2018,"Stroje, přístroje a zařízení"
