"Hodnota","Jednotka","Rok","Návštěvnost"
29042,"Počet",2010,"Návštěvnost vlastních infostředisek"
34121,"Počet",2011,"Návštěvnost vlastních infostředisek"
38504,"Počet",2012,"Návštěvnost vlastních infostředisek"
35799,"Počet",2013,"Návštěvnost vlastních infostředisek"
42732,"Počet",2014,"Návštěvnost vlastních infostředisek"
37529,"Počet",2015,"Návštěvnost vlastních infostředisek"
37106,"Počet",2016,"Návštěvnost vlastních infostředisek"
47929,"Počet",2017,"Návštěvnost vlastních infostředisek"
43163,"Počet",2018,"Návštěvnost vlastních infostředisek"
98882,"Počet",2010,"Návštěvnost všech infostředisek"
90318,"Počet",2011,"Návštěvnost všech infostředisek"
102829,"Počet",2012,"Návštěvnost všech infostředisek"
104791,"Počet",2013,"Návštěvnost všech infostředisek"
200813,"Počet",2014,"Návštěvnost všech infostředisek"
195807,"Počet",2015,"Návštěvnost všech infostředisek"
200466,"Počet",2016,"Návštěvnost všech infostředisek"
197188,"Počet",2017,"Návštěvnost všech infostředisek"
192569,"Počet",2018,"Návštěvnost všech infostředisek"
532190,"Počet",2010,"Celková návštěvnost"
694488,"Počet",2011,"Celková návštěvnost"
811609,"Počet",2012,"Celková návštěvnost"
675368,"Počet",2013,"Celková návštěvnost"
857699,"Počet",2014,"Celková návštěvnost"
872719,"Počet",2015,"Celková návštěvnost"
989617,"Počet",2016,"Celková návštěvnost"
1053970,"Počet",2017,"Celková návštěvnost"
1217370,"Počet",2018,"Celková návštěvnost"
