"Hodnota","Jednotka","Rok","Výdaje"
379082289.9699999,"Kč",2010,"Nákup materiálu a služeb"
302705301.6499998,"Kč",2011,"Nákup materiálu a služeb"
152196624.80999994,"Kč",2012,"Nákup materiálu a služeb"
128772355.14999995,"Kč",2013,"Nákup materiálu a služeb"
142034305.35999995,"Kč",2014,"Nákup materiálu a služeb"
168040210.56000003,"Kč",2015,"Nákup materiálu a služeb"
185717949.23000005,"Kč",2016,"Nákup materiálu a služeb"
204497944.72,"Kč",2017,"Nákup materiálu a služeb"
281970079.69999987,"Kč",2018,"Nákup materiálu a služeb"
12779727.27,"Kč",2010,"Voda, energie a paliva"
12110512.380000003,"Kč",2011,"Voda, energie a paliva"
11262243.19,"Kč",2012,"Voda, energie a paliva"
10307541.419999998,"Kč",2013,"Voda, energie a paliva"
10776013.64,"Kč",2014,"Voda, energie a paliva"
9260373.650000002,"Kč",2015,"Voda, energie a paliva"
9573597.860000005,"Kč",2016,"Voda, energie a paliva"
9582942.179999998,"Kč",2017,"Voda, energie a paliva"
10721880.260000007,"Kč",2018,"Voda, energie a paliva"
127959487,"Kč",2010,"Mzdy (platy) a zdrav. a soc. poj. "
120528088,"Kč",2011,"Mzdy (platy) a zdrav. a soc. poj. "
117144814,"Kč",2012,"Mzdy (platy) a zdrav. a soc. poj. "
108491558,"Kč",2013,"Mzdy (platy) a zdrav. a soc. poj. "
111481598,"Kč",2014,"Mzdy (platy) a zdrav. a soc. poj. "
122329642,"Kč",2015,"Mzdy (platy) a zdrav. a soc. poj. "
125629528,"Kč",2016,"Mzdy (platy) a zdrav. a soc. poj. "
134963538,"Kč",2017,"Mzdy (platy) a zdrav. a soc. poj. "
150677691,"Kč",2018,"Mzdy (platy) a zdrav. a soc. poj. "
70115495.76000008,"Kč",2010,"Ostatní"
91424581.9700002,"Kč",2011,"Ostatní"
137572899.00000006,"Kč",2012,"Ostatní"
78094050.43000007,"Kč",2013,"Ostatní"
89223521.00000006,"Kč",2014,"Ostatní"
137084244.78999996,"Kč",2015,"Ostatní"
82420290.90999994,"Kč",2016,"Ostatní"
109095077.09999996,"Kč",2017,"Ostatní"
111815539.64000013,"Kč",2018,"Ostatní"
43148000,"Kč",2010,"Opravy a údržba"
36396114,"Kč",2011,"Opravy a údržba"
15984835,"Kč",2012,"Opravy a údržba"
42046784,"Kč",2013,"Opravy a údržba"
31012527,"Kč",2014,"Opravy a údržba"
26891096,"Kč",2015,"Opravy a údržba"
17054197,"Kč",2016,"Opravy a údržba"
18712409,"Kč",2017,"Opravy a údržba"
31825409.399999995,"Kč",2018,"Opravy a údržba"
