"Hodnota","Jednotka","Rok","Výdaje"
6779000,"Kč",2010,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
4016000,"Kč",2011,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
461000,"Kč",2012,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2633000,"Kč",2013,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
1014000,"Kč",2014,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
9083000,"Kč",2015,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
3454000,"Kč",2016,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2899000,"Kč",2017,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
1525539,"Kč",2018,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
40425000,"Kč",2010,"Budovy, haly a stavby"
55714000,"Kč",2011,"Budovy, haly a stavby"
14315000,"Kč",2012,"Budovy, haly a stavby"
37167000,"Kč",2013,"Budovy, haly a stavby"
186166000,"Kč",2014,"Budovy, haly a stavby"
70918000,"Kč",2015,"Budovy, haly a stavby"
8503000,"Kč",2016,"Budovy, haly a stavby"
8724000,"Kč",2017,"Budovy, haly a stavby"
5118005,"Kč",2018,"Budovy, haly a stavby"
2331000,"Kč",2010,"Dopravní prostředky"
2623000,"Kč",2011,"Dopravní prostředky"
1097000,"Kč",2012,"Dopravní prostředky"
27688000,"Kč",2013,"Dopravní prostředky"
4545000,"Kč",2014,"Dopravní prostředky"
1993000,"Kč",2015,"Dopravní prostředky"
3885000,"Kč",2016,"Dopravní prostředky"
1485000,"Kč",2017,"Dopravní prostředky"
4627187,"Kč",2018,"Dopravní prostředky"
363000,"Kč",2010,"Ostatní"
120000,"Kč",2011,"Ostatní"
353000,"Kč",2012,"Ostatní"
1219000,"Kč",2013,"Ostatní"
49000,"Kč",2014,"Ostatní"
188000,"Kč",2015,"Ostatní"
758000,"Kč",2016,"Ostatní"
76000,"Kč",2017,"Ostatní"
2564069,"Kč",2018,"Ostatní"
4015000,"Kč",2010,"Stroje, přístroje a zařízení"
5833000,"Kč",2011,"Stroje, přístroje a zařízení"
2863000,"Kč",2012,"Stroje, přístroje a zařízení"
2498000,"Kč",2013,"Stroje, přístroje a zařízení"
1301000,"Kč",2014,"Stroje, přístroje a zařízení"
731000,"Kč",2015,"Stroje, přístroje a zařízení"
775000,"Kč",2016,"Stroje, přístroje a zařízení"
4791000,"Kč",2017,"Stroje, přístroje a zařízení"
2971176,"Kč",2018,"Stroje, přístroje a zařízení"
