"Mnozstvi","Rok","Doprava","Latka","Jednotka"
117.03309900379608,"2006","motocykly","CO2","kt"
129.179219902973,"2007","motocykly","CO2","kt"
138.48886917510137,"2008","motocykly","CO2","kt"
144.80484005472715,"2009","motocykly","CO2","kt"
128.09589497087057,"2010","motocykly","CO2","kt"
127.86846903029591,"2011","motocykly","CO2","kt"
121.63837242843988,"2012","motocykly","CO2","kt"
105.63695353129724,"2013","motocykly","CO2","kt"
84.48578595191991,"2014","motocykly","CO2","kt"
64.88536910557937,"2015","motocykly","CO2","kt"
52.399077964605155,"2016","motocykly","CO2","kt"
45.79080409539326,"2017","motocykly","CO2","kt"
39.78174986486424,"2018","motocykly","CO2","kt"
415.2564,"1993","zeleznicni_motorova_trakce","CO2","kt"
334.7097,"1994","zeleznicni_motorova_trakce","CO2","kt"
333.8946,"1995","zeleznicni_motorova_trakce","CO2","kt"
329.2263,"1996","zeleznicni_motorova_trakce","CO2","kt"
283.062,"1997","zeleznicni_motorova_trakce","CO2","kt"
356.3257815,"1998","zeleznicni_motorova_trakce","CO2","kt"
332.118423,"1999","zeleznicni_motorova_trakce","CO2","kt"
328.9939224,"2000","zeleznicni_motorova_trakce","CO2","kt"
301.308384,"2001","zeleznicni_motorova_trakce","CO2","kt"
292.128876,"2002","zeleznicni_motorova_trakce","CO2","kt"
285.8383788,"2003","zeleznicni_motorova_trakce","CO2","kt"
282.3538263,"2004","zeleznicni_motorova_trakce","CO2","kt"
286.4713068,"2005","zeleznicni_motorova_trakce","CO2","kt"
305.8020522,"2006","zeleznicni_motorova_trakce","CO2","kt"
302.1808855,"2007","zeleznicni_motorova_trakce","CO2","kt"
334.8476733,"2008","zeleznicni_motorova_trakce","CO2","kt"
303.8614019,"2009","zeleznicni_motorova_trakce","CO2","kt"
294.8769658,"2010","zeleznicni_motorova_trakce","CO2","kt"
288.1162491,"2011","zeleznicni_motorova_trakce","CO2","kt"
278.3957522,"2012","zeleznicni_motorova_trakce","CO2","kt"
272.090512,"2013","zeleznicni_motorova_trakce","CO2","kt"
278.138454,"2014","zeleznicni_motorova_trakce","CO2","kt"
271.3808695,"2015","zeleznicni_motorova_trakce","CO2","kt"
274.5126447,"2016","zeleznicni_motorova_trakce","CO2","kt"
278.5760917024,"2017","zeleznicni_motorova_trakce","CO2","kt"
284.8894117024,"2018","zeleznicni_motorova_trakce","CO2","kt"
54.3153,"1993","vodni","CO2","kt"
53.5002,"1994","vodni","CO2","kt"
55.2045,"1995","vodni","CO2","kt"
45.942,"1996","vodni","CO2","kt"
38.532,"1997","vodni","CO2","kt"
37.839906,"1998","vodni","CO2","kt"
22.1412282,"1999","vodni","CO2","kt"
15.8170155,"2000","vodni","CO2","kt"
24.850176,"2001","vodni","CO2","kt"
12.431016,"2002","vodni","CO2","kt"
12.4277556,"2003","vodni","CO2","kt"
18.6167358,"2004","vodni","CO2","kt"
15.4976445,"2005","vodni","CO2","kt"
19.0195434,"2006","vodni","CO2","kt"
15.8385045,"2007","vodni","CO2","kt"
12.706668,"2008","vodni","CO2","kt"
15.922608,"2009","vodni","CO2","kt"
12.7561668,"2010","vodni","CO2","kt"
9.5555655,"2011","vodni","CO2","kt"
15.915939,"2012","vodni","CO2","kt"
6.3669684,"2013","vodni","CO2","kt"
9.5568993,"2014","vodni","CO2","kt"
9.5462289,"2015","vodni","CO2","kt"
12.7324548,"2016","vodni","CO2","kt"
12.62664,"2017","vodni","CO2","kt"
9.46998,"2018","vodni","CO2","kt"
437.812414,"1993","letecka","CO2","kt"
537.273607,"1994","letecka","CO2","kt"
571.41123,"1995","letecka","CO2","kt"
434.616572,"1996","letecka","CO2","kt"
493.213452,"1997","letecka","CO2","kt"
581.0635,"1998","letecka","CO2","kt"
550.31,"1999","letecka","CO2","kt"
593.37,"2000","letecka","CO2","kt"
633.473,"2001","letecka","CO2","kt"
550.882,"2002","letecka","CO2","kt"
737.55273,"2003","letecka","CO2","kt"
945.6028,"2004","letecka","CO2","kt"
979.2456,"2005","letecka","CO2","kt"
1015.40315,"2006","letecka","CO2","kt"
1064.9312,"2007","letecka","CO2","kt"
1126.82875,"2008","letecka","CO2","kt"
1030.8972,"2009","letecka","CO2","kt"
965.8751,"2010","letecka","CO2","kt"
953.4862,"2011","letecka","CO2","kt"
891.57945,"2012","letecka","CO2","kt"
860.57705,"2013","letecka","CO2","kt"
882.77065,"2014","letecka","CO2","kt"
897.70495,"2015","letecka","CO2","kt"
957.3717,"2016","letecka","CO2","kt"
1083.49055,"2017","letecka","CO2","kt"
1247.5759,"2018","letecka","CO2","kt"
185.0842721030079,"1993","individualni_automobilova","N2O","t"
260.6308833381367,"1994","individualni_automobilova","N2O","t"
327.39066995264903,"1995","individualni_automobilova","N2O","t"
393.1050287448027,"1996","individualni_automobilova","N2O","t"
421.4752221422332,"1997","individualni_automobilova","N2O","t"
465.73019133537326,"1998","individualni_automobilova","N2O","t"
544.7552322667385,"1999","individualni_automobilova","N2O","t"
565.8088864507721,"2000","individualni_automobilova","N2O","t"
357.0634949673691,"2001","individualni_automobilova","N2O","t"
366.5498627242076,"2002","individualni_automobilova","N2O","t"
409.046247886368,"2003","individualni_automobilova","N2O","t"
415.0245590804593,"2004","individualni_automobilova","N2O","t"
427.5073054627718,"2005","individualni_automobilova","N2O","t"
437.6184868195663,"2006","individualni_automobilova","N2O","t"
426.1142746326801,"2007","individualni_automobilova","N2O","t"
419.1309821668415,"2008","individualni_automobilova","N2O","t"
355.236782233707,"2009","individualni_automobilova","N2O","t"
339.0596179061278,"2010","individualni_automobilova","N2O","t"
343.672534815884,"2011","individualni_automobilova","N2O","t"
331.74702721985636,"2012","individualni_automobilova","N2O","t"
335.58036426451787,"2013","individualni_automobilova","N2O","t"
346.81036703266676,"2014","individualni_automobilova","N2O","t"
