"Hodnota","Jednotka","Rok","Financovani"
35520830.17,"Kč",2010,"Vlastní zdroje"
37208340.84,"Kč",2011,"Vlastní zdroje"
34384755.93,"Kč",2012,"Vlastní zdroje"
36890153.63,"Kč",2013,"Vlastní zdroje"
33238543.21,"Kč",2014,"Vlastní zdroje"
43755127.61,"Kč",2015,"Vlastní zdroje"
42311761.46,"Kč",2016,"Vlastní zdroje"
36454890.26,"Kč",2017,"Vlastní zdroje"
62924977.440000005,"Kč",2018,"Vlastní zdroje"
83980445.11,"Kč",2010,"Celkem"
88229042.24,"Kč",2011,"Celkem"
91011277.42,"Kč",2012,"Celkem"
94760865.12,"Kč",2013,"Celkem"
105129423.31,"Kč",2014,"Celkem"
190520216.98,"Kč",2015,"Celkem"
93125821.64,"Kč",2016,"Celkem"
118297227,"Kč",2017,"Celkem"
121980853.80000001,"Kč",2018,"Celkem"
64753839.53,"Kč",2010,"Příspěvek zřizovatele"
62992543.79,"Kč",2011,"Příspěvek zřizovatele"
52346572,"Kč",2012,"Příspěvek zřizovatele"
54220686.43,"Kč",2013,"Příspěvek zřizovatele"
59344028.48,"Kč",2014,"Příspěvek zřizovatele"
91858744.86,"Kč",2015,"Příspěvek zřizovatele"
84642465.86,"Kč",2016,"Příspěvek zřizovatele"
110224067,"Kč",2017,"Příspěvek zřizovatele"
51069981.36,"Kč",2018,"Příspěvek zřizovatele"
