"Hodnota","Jednotka","Rok","Latka","Stat"
"14549184","Kilogram ",2017,"Insecticides and acaricides","Germany (until 1990 former territory of the FRG)"
"26102","Kilogram ",2017,"Insecticides and acaricides","Estonia"
"52821","Kilogram ",2017,"Insecticides and acaricides","Ireland"
"892763","Kilogram ",2017,"Insecticides and acaricides","Greece"
"6549043","Kilogram ",2017,"Insecticides and acaricides","Spain"
"3785871","Kilogram ",2017,"Insecticides and acaricides","France"
"115247","Kilogram ",2017,"Insecticides and acaricides","Croatia"
"2725868","Kilogram ",2017,"Insecticides and acaricides","Italy"
"124258","Kilogram ",2017,"Insecticides and acaricides","Cyprus"
"32984","Kilogram ",2017,"Insecticides and acaricides","Latvia"
"53837","Kilogram ",2017,"Insecticides and acaricides","Lithuania"
"","Kilogram ",2017,"Insecticides and acaricides","Luxembourg"
"859884","Kilogram ",2017,"Insecticides and acaricides","Hungary"
"3078","Kilogram ",2017,"Insecticides and acaricides","Malta"
"285835","Kilogram ",2017,"Insecticides and acaricides","Netherlands"
"1185853","Kilogram ",2017,"Insecticides and acaricides","Austria"
"1819059","Kilogram ",2017,"Insecticides and acaricides","Poland"
"943294","Kilogram ",2017,"Insecticides and acaricides","Portugal"
"944523","Kilogram ",2017,"Insecticides and acaricides","Romania"
"50079","Kilogram ",2017,"Insecticides and acaricides","Slovenia"
"138965","Kilogram ",2017,"Insecticides and acaricides","Slovakia"
"24998","Kilogram ",2017,"Insecticides and acaricides","Finland"
"31421","Kilogram ",2017,"Insecticides and acaricides","Sweden"
"433843","Kilogram ",2017,"Insecticides and acaricides","United Kingdom"
"206","Kilogram ",2017,"Insecticides and acaricides","Iceland"
"","Kilogram ",2017,"Insecticides and acaricides","Liechtenstein"
"4113","Kilogram ",2017,"Insecticides and acaricides","Norway"
"281078","Kilogram ",2017,"Insecticides and acaricides","Switzerland"
"","Kilogram ",2017,"Insecticides and acaricides","Montenegro"
"","Kilogram ",2017,"Insecticides and acaricides","North Macedonia"
"","Kilogram ",2017,"Insecticides and acaricides","Albania"
"","Kilogram ",2017,"Insecticides and acaricides","Serbia"
"12171245","Kilogram ",2017,"Insecticides and acaricides","Turkey"
"","Kilogram ",2017,"Plant growth regulators","European Union - 27 countries (from 2020)"
"","Kilogram ",2017,"Plant growth regulators","European Union - 28 countries (2013-2020)"
"","Kilogram ",2017,"Plant growth regulators","Euro area - 19 countries  (from 2015)"
"352603","Kilogram ",2017,"Plant growth regulators","Belgium"
"23042","Kilogram ",2017,"Plant growth regulators","Bulgaria"
"360538","Kilogram ",2017,"Plant growth regulators","Czechia"
"209481","Kilogram ",2017,"Plant growth regulators","Denmark"
"3381090","Kilogram ",2017,"Plant growth regulators","Germany (until 1990 former territory of the FRG)"
"94301","Kilogram ",2017,"Plant growth regulators","Estonia"
"315894","Kilogram ",2017,"Plant growth regulators","Ireland"
"95336","Kilogram ",2017,"Plant growth regulators","Greece"
"157373","Kilogram ",2017,"Plant growth regulators","Spain"
"3503805","Kilogram ",2017,"Plant growth regulators","France"
"58494","Kilogram ",2017,"Plant growth regulators","Croatia"
"214820","Kilogram ",2017,"Plant growth regulators","Italy"
"132","Kilogram ",2017,"Plant growth regulators","Cyprus"
"367561","Kilogram ",2017,"Plant growth regulators","Latvia"
"997963","Kilogram ",2017,"Plant growth regulators","Lithuania"
