"Hodnota","Jednotka","Rok","Návštěvnost"
158.6,"Počet",2014,"Celková návštěvnost, minimální odhad"
158.9,"Počet",2015,"Celková návštěvnost, minimální odhad"
170.2,"Počet",2016,"Celková návštěvnost, minimální odhad"
173.5,"Počet",2017,"Celková návštěvnost, minimální odhad"
176.6,"Počet",2018,"Celková návštěvnost, minimální odhad"
178.4,"Počet",2014,"Celková návštěvnost, maximální odhad "
178.8,"Počet",2015,"Celková návštěvnost, maximální odhad "
191.4,"Počet",2016,"Celková návštěvnost, maximální odhad "
194.8,"Počet",2017,"Celková návštěvnost, maximální odhad "
198,"Počet",2018,"Celková návštěvnost, maximální odhad "
