"Hodnota","Jednotka","Rok","Výdaje"
75636,"Kč",2010,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
0,"Kč",2011,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
124080,"Kč",2012,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2598287,"Kč",2013,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
2127605,"Kč",2014,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
453503,"Kč",2015,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
355570,"Kč",2016,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
0,"Kč",2017,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
54936,"Kč",2018,"Programové vybavení+nehmotné výsledky+ ostatní nákup DNM "
1269462,"Kč",2010,"Budovy, haly a stavby"
2286008,"Kč",2011,"Budovy, haly a stavby"
1835806,"Kč",2012,"Budovy, haly a stavby"
1189758,"Kč",2013,"Budovy, haly a stavby"
829732,"Kč",2014,"Budovy, haly a stavby"
115570,"Kč",2015,"Budovy, haly a stavby"
3239282,"Kč",2016,"Budovy, haly a stavby"
1282520,"Kč",2017,"Budovy, haly a stavby"
1302716.87,"Kč",2018,"Budovy, haly a stavby"
0,"Kč",2010,"Dopravní prostředky"
1245040,"Kč",2011,"Dopravní prostředky"
0,"Kč",2012,"Dopravní prostředky"
0,"Kč",2013,"Dopravní prostředky"
0,"Kč",2014,"Dopravní prostředky"
530985,"Kč",2015,"Dopravní prostředky"
3931169,"Kč",2016,"Dopravní prostředky"
391462,"Kč",2017,"Dopravní prostředky"
0,"Kč",2018,"Dopravní prostředky"
45162,"Kč",2010,"Ostatní"
326101,"Kč",2011,"Ostatní"
0,"Kč",2012,"Ostatní"
824494,"Kč",2013,"Ostatní"
262189,"Kč",2014,"Ostatní"
48400,"Kč",2015,"Ostatní"
456434,"Kč",2016,"Ostatní"
9560,"Kč",2017,"Ostatní"
95669.31,"Kč",2018,"Ostatní"
235663,"Kč",2010,"Stroje, přístroje a zařízení"
1782716,"Kč",2011,"Stroje, přístroje a zařízení"
0,"Kč",2012,"Stroje, přístroje a zařízení"
3014417,"Kč",2013,"Stroje, přístroje a zařízení"
828351,"Kč",2014,"Stroje, přístroje a zařízení"
728189,"Kč",2015,"Stroje, přístroje a zařízení"
281372,"Kč",2016,"Stroje, přístroje a zařízení"
29220,"Kč",2017,"Stroje, přístroje a zařízení"
309073,"Kč",2018,"Stroje, přístroje a zařízení"
